bit_index,transmitted_bit,recovered_bit,decision_value
0,1,1,1.4807035508135709
1,0,0,-0.8983039389427898
2,1,1,0.8591940000622426
3,0,0,-1.3910787586312119
4,1,1,0.8785941527684095
5,1,1,0.3373074691570136
6,0,0,-2.4500733867066646
7,1,1,0.7183454080386741
8,1,1,1.3816577837243063
9,1,1,2.135481408590892
10,1,1,1.0500283979654719
11,1,1,0.6440004294151269
12,0,0,-1.2196255894689836
13,0,0,-0.6037648220781552
14,0,0,-1.4633728263509147
15,0,0,-0.8312554868570617
16,0,0,-0.5526354124590946
17,0,0,-1.042816194592398
18,1,1,0.7612637361544567
19,0,0,-0.6482425120459809
20,1,1,0.3250288561549462
21,0,0,-0.6697786735039394
22,1,1,0.6624317475587876
23,1,1,1.1196067260601144
24,1,1,1.380899554504367
25,1,1,0.5841236163971609
26,0,0,-0.8242594735300816
27,0,0,-0.6622876001524276
28,0,0,-1.1882672786386597
29,1,1,0.3864219838326923
30,1,1,1.2625970212108475
31,1,1,1.013347890881354
32,1,1,0.8134592457800097
33,1,1,0.8102433240484594
34,1,1,1.3285919930530945
35,0,0,-1.3246860452803921
36,1,1,1.2207910320082402
37,0,0,-0.9887676253851176
38,0,0,-1.4512192864242273
39,0,0,-2.0670690214159855
