system,target_snr_db,measured_channel_snr_db,message_mse,message_rmse,message_nmse
AM,20,19.971226877279292,0.00423122992968097,0.06504790488310111,0.0096060126377583
DSB-SC,20,19.971226877279292,0.0010349031512632391,0.032169910650532416,0.0023495042611971994
