ebn0_db,number_of_bits,bit_errors,ber
0,100000,7820,0.0782
1,100000,5682,0.05682
2,100000,3710,0.0371
3,100000,2248,0.02248
4,100000,1323,0.01323
5,100000,582,0.00582
6,100000,246,0.00246
7,100000,103,0.00103
8,100000,16,0.00016
9,100000,2,2e-05
10,100000,1,1e-05
